"fiscal_year","month","total","philippines","india","china","russia","mexico","ukraine","canada","burma","south_korea","turkey","other"
"2014","Total","45670","21610","1750","10430","1790","30","2960","20","1880","300","1030","3870"
"2014","October","3510","1670","90","880","210","0","190","0","130","40","40","270"
"2014","November","2930","1410","90","720","70","0","170","0","90","10","90","300"
"2014","December","3020","1390","110","620","100","0","270","0","190","20","50","280"
"2014","January","3550","1530","140","810","200","10","230","0","140","30","110","360"
"2014","February","3910","1680","620","740","90","0","210","0","140","10","130","300"
"2014","March","4190","2020","160","810","200","0","220","0","160","20","80","520"
"2014","April","6750","3330","140","1760","150","10","460","0","220","40","150","510"
"2014","May","4320","2170","130","870","160","0","270","0","200","10","130","380"
"2014","June","3520","1740","50","790","150","0","270","0","160","40","70","260"
"2014","July","3560","1630","100","890","230","0","300","10","120","20","30","220"
"2014","August","2850","1450","50","560","100","0","220","0","160","30","50","220"
"2014","September","3570","1610","80","1010","150","0","150","0","180","30","110","260"
"2015","Total","43240","19960","1280","10740","1340","130","2490","30","2000","320","990","3970"
"2015","October","4070","1670","120","1150","200","10","320","0","170","20","140","270"
"2015","November","3180","1270","90","930","180","0","290","0","120","20","50","230"
"2015","December","3840","1730","140","920","210","0","190","0","210","20","150","270"
"2015","January","3870","1840","90","1070","80","0","340","20","160","20","60","200"
"2015","February","3870","1730","130","1120","110","0","220","0","210","10","60","280"
"2015","March","3850","1880","150","870","120","10","220","0","160","50","120","290"
"2015","April","3700","1910","100","770","90","20","190","0","120","40","80","400"
"2015","May","3730","1760","80","1110","90","0","130","0","190","40","50","280"
"2015","June","2900","1390","70","720","50","10","160","0","140","10","60","280"
"2015","July","3130","1510","80","730","60","10","110","0","170","40","80","350"
"2015","August","2980","1370","80","730","50","0","190","0","200","30","50","290"
"2015","September","4140","1900","160","620","110","80","130","0","180","30","90","840"
"2016","Total","30340","13230","850","7100","780","550","1930","0","1440","210","890","3350"
"2016","October","3690","1730","90","1070","30","130","200","0","150","10","50","230"
"2016","November","2440","1120","40","610","40","20","140","0","130","60","90","190"
"2016","December","2900","1250","50","760","70","40","230","0","150","50","60","240"
"2016","January","3050","1400","60","890","100","50","180","0","90","10","80","190"
"2016","February","2860","1060","80","810","80","50","190","0","100","10","140","350"
"2016","March","2580","1210","70","480","70","80","180","0","110","20","110","260"
"2016","April","2420","970","80","460","100","70","130","0","190","20","90","310"
"2016","May","2410","1140","70","470","90","10","210","0","140","10","0","270"
"2016","June","2460","1030","60","520","80","30","170","0","100","0","80","390"
"2016","July","2030","810","110","370","30","60","110","0","80","0","140","320"
"2016","August","2510","1120","90","550","60","10","150","0","160","20","30","330"
"2016","September","990","400","50","130","30","10","50","0","30","0","30","270"
"2017","Total","15070","6050","860","3080","340","270","740","20","620","40","310","2750"
"2017","October","1480","520","80","300","20","90","50","0","40","0","20","350"
"2017","November","1290","430","80","290","30","130","80","0","30","0","20","200"
"2017","December","1130","490","70","210","20","20","90","0","40","0","20","180"
"2017","January","1310","600","80","180","60","10","60","0","70","0","20","240"
"2017","February","1170","500","50","210","10","0","90","0","80","20","0","210"
"2017","March","1490","450","50","380","20","0","70","0","120","0","20","390"
"2017","April","1330","510","120","200","20","0","30","0","40","0","40","350"
"2017","May","1380","600","80","270","40","0","60","0","60","0","0","260"
"2017","June","1300","590","80","260","20","0","50","10","60","0","40","200"
"2017","July","1240","610","30","260","50","0","70","0","30","10","40","140"
"2017","August","890","390","30","210","30","0","50","0","20","0","40","120"
"2017","September","1050","370","110","310","20","10","40","0","20","10","50","120"
"2018","Total","72760","27570","3290","14620","2630","2250","3690","3240","2590","890","2110","9860"
"2018","October","5510","2480","230","1330","180","0","310","0","220","70","160","540"
"2018","November","5030","1970","240","1220","250","10","320","0","250","60","100","620"
"2018","December","5080","2180","160","1340","140","0","280","0","200","70","170","530"
"2018","January","4670","2110","160","1010","200","0","210","0","200","70","180","520"
"2018","February","5570","2290","280","1360","200","0","300","0","170","50","180","750"
"2018","March","5940","2660","270","1190","290","0","330","0","200","90","150","760"
"2018","April","5770","2590","300","1090","290","10","310","0","200","90","210","670"
