"fiscal_year","month","total","mexico","guatemala","honduras","el_salvador","colombia","ecuador","peru","venezuela","dominican_republic","brazil","other"
"2014","Total","404700","264740","54340","40770","26840","1350","1560","700","180","2080","1000","11150"
"2014","October","37370","25760","4140","3660","2240","110","110","50","10","170","80","1040"
"2014","November","31940","21730","3500","3050","2100","110","120","50","30","230","90","950"
"2014","December","29350","19980","3960","2440","1490","110","90","70","10","200","130","880"
"2014","January","30070","20860","4020","1950","1730","90","140","60","20","170","80","960"
"2014","February","33560","22560","4600","2670","2050","150","120","50","10","170","70","1110"
"2014","March","39460","27410","5150","3430","1890","120","110","70","10","180","100","990"
"2014","April","39640","27970","4870","3490","1850","110","130","40","10","170","80","920"
"2014","May","37490","23730","5480","4130","2650","110","100","50","20","210","80","940"
"2014","June","30260","17700","4210","4670","2430","40","150","70","10","150","50","790"
"2014","July","34930","18640","6500","5200","3090","180","150","50","20","150","80","880"
"2014","August","31820","19970","4630","3530","2240","120","120","60","10","190","90","860"
"2014","September","28810","18450","3300","2560","3090","100","220","70","10","100","70","830"
"2015","Total","323670","231820","33330","20290","21680","1580","1440","520","210","1890","1020","9900"
"2015","October","33510","22600","3190","2230","3750","150","210","50","20","230","80","1010"
"2015","November","26300","18220","2580","1950","2240","90","90","40","20","160","70","840"
"2015","December","25340","17890","3270","1700","1220","130","120","40","10","120","70","770"
"2015","January","25200","17570","3040","1400","1900","120","100","30","10","180","60","780"
"2015","February","24550","18350","2470","1340","1120","110","110","30","10","190","60","760"
"2015","March","28580","22040","2570","1210","1380","150","80","40","10","130","100","880"
"2015","April","28790","21430","2720","1630","1510","150","120","50","20","200","110","860"
"2015","May","28200","20530","2880","1760","1580","140","130","50","10","130","120","870"
"2015","June","26930","19580","2260","1900","1810","150","110","60","20","130","100","830"
"2015","July","26960","18470","3430","1660","1970","130","140","50","20","160","90","830"
"2015","August","24650","17570","2620","1820","1370","130","110","40","20","130","90","750"
"2015","September","24650","17560","2290","1690","1850","150","110","40","30","110","90","730"
"2016","Total","331540","235980","33890","22020","20270","2090","1430","590","700","1990","1500","11090"
"2016","October","29620","21830","2480","1870","1810","160","100","40","40","180","110","1000"
"2016","November","25850","18560","2400","1660","1750","200","80","40","50","250","80","770"
"2016","December","26450","18570","3120","1720","1440","190","100","40","20","190","110","950"
"2016","January","23670","16380","2630","1500","1640","120","100","60","50","190","100","920"
"2016","February","24920","18320","2360","1280","1440","160","110","50","50","180","130","850"
"2016","March","29790","22820","2460","1360","1330","210","140","50","60","130","140","1090"
"2016","April","31490","23560","2730","1830","1650","170","120","60","90","150","110","1040"
"2016","May","31780","23080","3020","2120","1750","210","160","70","70","170","160","970"
"2016","June","29260","20490","3110","2210","1850","190","140","50","70","160","140","880"
"2016","July","25670","17420","2910","2000","1810","170","110","40","90","120","140","870"
"2016","August","27380","18070","3330","2380","1950","170","120","50","60","170","160","910"
