"fiscal_year","month","total","mexico","guatemala","honduras","el_salvador","colombia","ecuador","peru","venezuela","dominican_republic","nicaragua","other"
"2014","Total","315940","176970","54420","40700","27180","1180","1570","680","150","2130","1270","9700"
"2014","October","29750","18150","4170","3680","2270","100","110","60","20","170","90","950"
"2014","November","25610","15420","3520","3060","2130","100","110","50","20","230","100","860"
"2014","December","24380","14950","3990","2470","1530","100","90","70","10","210","60","910"
"2014","January","23440","14260","4040","1950","1750","70","140","60","20","170","100","890"
"2014","February","25270","14340","4620","2650","2080","120","120","50","10","170","150","960"
"2014","March","28910","17000","5160","3410","1920","100","120","60","10","180","70","880"
"2014","April","28680","17150","4860","3460","1870","90","130","40","10","170","90","830"
"2014","May","29610","16030","5450","4110","2680","100","90","40","10","210","170","710"
"2014","June","24530","12090","4190","4640","2450","40","150","70","10","160","60","670"
"2014","July","28980","12790","6480","5200","3120","170","150","50","20","160","140","710"
"2014","August","24970","13200","4640","3530","2270","100","130","60","10","200","150","680"
"2014","September","21810","11580","3310","2540","3140","80","220","70","0","100","110","650"
"2015","Total","235410","146130","33250","20310","21920","1150","1310","480","130","1950","870","7920"
"2015","October","26270","15380","3210","2250","3800","120","210","60","10","240","100","870"
"2015","November","19850","11870","2590","1950","2270","80","80","50","10","180","80","700"
"2015","December","19330","11920","3280","1700","1240","110","130","40","10","130","70","700"
"2015","January","18550","10980","3050","1410","1910","100","110","30","10","190","80","680"
"2015","February","16580","10530","2470","1340","1140","80","110","30","10","180","80","610"
"2015","March","18910","12580","2570","1230","1390","120","70","40","10","130","70","700"
"2015","April","20300","13290","2670","1620","1520","100","100","30","20","200","70","680"
"2015","May","20400","13080","2860","1760","1600","90","100","40","10","150","70","650"
"2015","June","19820","12780","2240","1900","1830","100","90","50","20","130","40","650"
"2015","July","20680","12450","3440","1660","1980","90","130","50","20","180","100","590"
"2015","August","17570","10780","2610","1820","1380","90","90","40","10","130","80","560"
"2015","September","17150","10490","2260","1670","1860","80","80","30","10","110","30","530"
"2016","Total","240260","149820","33940","21990","20540","1160","1100","410","180","1980","800","8340"
"2016","October","22310","14770","2480","1880","1850","110","90","40","20","180","120","780"
"2016","November","19040","12080","2390","1670","1770","160","60","30","20","260","10","600"
"2016","December","20640","13070","3110","1730","1470","130","90","30","10","210","90","710"
"2016","January","17650","10710","2640","1510","1660","60","80","50","20","200","60","680"
"2016","February","17610","11360","2370","1290","1470","90","80","40","10","170","70","660"
"2016","March","20150","13640","2460","1370","1350","100","110","40","20","130","70","870"
"2016","April","21780","14470","2720","1810","1650","80","80","30","20","140","60","750"
"2016","May","22300","14250","3020","2080","1770","90","110","40","20","160","60","710"
"2016","June","21690","13370","3120","2210","1870","110","80","30","10","160","60","690"
"2016","July","18960","11110","2910","1990","1840","90","90","30","30","120","90","670"
"2016","August","20120","11230","3370","2390","1970","90","110","30","10","160","70","670"
"2016","September","18020","9780","3360","2080","1880","60","120","30","0","110","40","570"
"2017","Total","226120","128770","33570","22380","18840","1080","1150","460","250","1990","830","16810"
"2017","October","23750","14910","3270","2040","2130","110","120","30","20","190","80","860"
"2017","November","23550","13530","3680","2490","2170","80","110","30","20","150","80","1230"
"2017","December","21070","10610","3580","2540","1930","100","90","40","20","170","60","1950"
"2017","January","18930","10030","2890","1720","1810","80","70","50","20","130","60","2070"
"2017","February","18220","9520","2870","1880","1770","110","90","40","20","170","60","1700"
"2017","March","20090","10810","2880","2190","2000","110","150","50","30","170","40","1680"
"2017","April","15840","9560","1750","1440","1240","90","100","40","20","160","60","1380"
"2017","May","16850","9990","2230","1600","1130","80","90","40","20","210","120","1330"
"2017","June","17190","10040","2090","1770","1400","90","90","40","30","200","60","1380"
"2017","July","15770","9490","2270","1430","980","100","90","20","20","140","60","1180"
"2017","August","18280","11010","2840","1590","1190","70","80","40","30","160","50","1230"
"2017","September","16600","9280","3240","1700","1090","90","90","40","10","130","90","830"
"2018","Total","256090","141050","50390","28890","15450","1160","1260","580","340","1770","880","14320"
"2018","October","20270","12050","3380","2000","1150","100","100","50","30","130","50","1240"
"2018","November","20550","11600","3770","2150","1380","80","90","40","30","190","100","1130"
"2018","December","19760","11160","4050","1840","1060","100","100","40","20","140","80","1180"
"2018","January","19130","10930","3920","1630","1280","90","70","40","20","130","50","980"
"2018","February","20100","11150","4080","2030","1220","90","90","50","20","170","70","1120"
"2018","March","23450","14230","4040","2130","1120","100","90","40","30","160","60","1470"
"2018","April","24020","13400","4860","2670","1400","100","130","50","30","130","60","1190"
"2018","May","24960","13730","5260","2690","1450","100","140","50","30","130","120","1280"
"2018","June","21130","10810","3800","3200","1360","110","140","50","40","180","60","1380"
"2018","July","20580","10540","4890","2470","1180","110","100","40","40","120","80","1030"
"2018","August","23200","11890","4530","3300","1610","100","120","70","40","170","90","1270"
"2018","September","18940","9550","3820","2800","1240","80","110","50","20","130","70","1070"
